20MICRONS,INDUSTRIAL MINERALS,MINING & MINERALS
3IINFOTECH,COMPUTERS - SOFTWARE,COMPUTERS - SOFTWARE
3MINDIA,DIVERSIFIED COMMERCIAL SERVICES,
63MOONS,COMPUTERS - SOFTWARE,COMPUTERS - SOFTWARE
8KMILES,IT ENABLED SERVICES - SOFTWARE,COMPUTERS - SOFTWARE
A2ZINFRA,ENGINEERING-DESIGNING-CONSTRUCTION,POWER - TRANSMISSION & EQUIPMENT
AARTIDRUGS,PHARMACEUTICALS,PHARMACEUTICALS
AARVEEDEN,FABRICS AND GARMENTS,FABRICS AND GARMENTS
AARTIIND,Chemicals,SPECIALITY
ABAN,Oil Drilling,OFFSHORE SUPPORT SOLUTION DRILLING
ABB,Electric,Equipment SwitchGare Circuit Breaker,POWER EQUIPMENT
ABBOTINDIA,Pharmaceuticals,Pharmaceuticals,PHARMACEUTICALS
ABFRL,Textiles,Products,RETAILING
ABIRLANUVO,Textiles,Manmade Fibre subtype Rayon,NOT FOUND
ACC,Cement,Major,CEMENT
ACCELYA,Computers, Medium  Small,COMPUTERS - SOFTWARE
ACE,Engineering,Heavy,INDUSTRIAL EQUIPMENT
ADANIENT,Trading,Trading,ADANIENT
ADANIPORTS,Misc,Miscellaneous,PORT
ADANIPOWER,Power,Generation Distribution,POWER
ADANITRANS,Power,Generation Distribution,POWER - TRANSMISSION
ADFFOODS,Food Processing,Food Processing subtype Dairy,CONSUMER FOOD
ADHUNIK,Steel,SPONGE IRON,SPONGE IRON
ADHUNIKIND,NA,NA,STEEL PRODUCTS
ADLABS,Recreation   Amusement Parks,Recreation Amusement Parks,OTHER RECREATIONAL ACTIVITIES
ADORWELD,Misc,Welding Equipment subtype Electrodes,ELECTRODES
ADVANIHOTR,Hotels,Hotels
ADVENZYMES,NA,NA
AEGISCHEM,Misc,Miscellaneous
AGCNET,Telecom,Telecommunications subtype Equipment
AGRITECH,Misc,Miscellaneous
AHLEAST,Hotels,Hotels
AHLUCONT,Construction,Construction & Contracting subtype Civil
AHLWEST,Hotels,Hotels
AIAENG,Engineering,Heavy
AIFL,Textiles,Products
AJANTPHARM,Pharmaceuticals,Pharmaceuticals
AJMERA,Construction,Construction and Contracting subtype Real Estate
AKSHARCHEM,NA,NA
AKSHOPTFBR,Cables,Cables subtype Telephone
AKZOINDIA,Paints,Paints Varnishes
ALANKIT,Finance,Finance subtype Investments
ALBERTDAVD,NA,NA
ALBK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
ALCHEM,Diversified,Diversified
ALEMBICLTD,Pharmaceuticals,Pharmaceuticals
ALICON,Auto Ancl,Auto Ancl subtype Others
ALKALI,Metals,Metals subtype Non Ferrous subtype Others
ALKEM,Pharmaceuticals,Bulk Drugs & Formln
ALKYLAMINE,Chemicals,Chemicals subtype Organic subtype Others
ALLCARGO,Transport,Transport subtype Road
ALLSEC,Computers,IT Enabled Services
ALMONDZ,Finance,Finance subtype Investments
ALOKTEXT,Textiles,Textiles subtype Weaving
ALPHAGEO,Oil Drilling,Drilling Exploration
ALPSINDUS,Textiles,Textiles subtype General
AMARAJABAT,Auto Ancl,Auto Ancl subtype Batteries
AMBIKCO,Textiles,Textiles subtype Spinning subtype Cotton Blended
AMBUJACEM,Cement,Major
AMDIND,Packaging,Packaging subtype Others
AMRUTANJAN,Pharmaceuticals,Pharmaceuticals
AMTEKAUTO,Auto Ancl,Auto Ancl subtype Susp. & Braking subtype Others
ANANTRAJ,Construction,Construction and Contracting subtype Real Estate
ANDHRABANK,Banks PSU,Finance subtype Banks subtype Public Sector
ANDHRSUGAR,Sugar,Sugar subtype Others
ANGIND,Diversified,Diversified
ANKITMETAL,Steel,Steel subtype Sponge Iron
ANSALAPI,Construction,Construction & Contracting subtype Housing
ANSALHSG,Construction,Construction & Contracting subtype Housing
APARINDS,Electric,Electric Equipment subtype Transformers
APCL,NA,NA
APCOTEXIND,Misc,Rubber Processing Rubber Products
APLAPOLLO,Steel,Medium   Small
APLLTD,Pharmaceuticals,Bulk Drugs & Formln
APOLLOHOSP,Medical,Hospitals & Medical Services
APOLLOTYRE,Auto Ancl,Tyres & Tubes
APTECHT,Computers,Software
ARCHIDPLY,Consumer Goods,Decoratives subtype Wood Based
ARCHIES,Printing,Printing Publishing Stationery
ARCOTECH,Mining,Mining Minerals
ARIES,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
ARIHANTSUP,NA,NA
ARMANFIN,NA,NA
AROGRANITE,Misc,Granites Marbles
ARROWGREEN,NA,NA
ARROWTEX,Textiles,Textiles subtype General
ARSSINFRA,Construction,Construction & Contracting subtype Civil
ARVIND,Textiles,Denim
ARVSMART,NA,NA
ASAHIINDIA,Glass,Glass subtype Others
ASAHISONG,Dyes,Dyes & Pigments
ASAL,Auto Ancl,Auto Ancl subtype Others
ASHAPURMIN,Mining,Mining Minerals
ASHIANA,Construction,Construction and Contracting subtype Real Estate
ASHIMASYN,Textiles,Textiles subtype Spinning subtype Cotton Blended
ASHOKA,Construction,Construction & Contracting subtype Civil
ASHOKLEY,Auto,Auto subtype LCVs HCVs
ASIANHOTNR,Hotels,Hotels
ASIANPAINT,Paints,Paints Varnishes
ASIANTILES,Ceramics,Ceramics Tiles Sanitaryware
ASSAMCO,Tea subtype Coffee,Plantations subtype Tea & Coffee
ASTEC,Agro,Pesticides Agro Chemicals
ASTRAL,Plastics,Plastics subtype Pipes Tubes
ASTRAMICRO,Telecom,Telecommunications subtype Equipment
ASTRAZEN,Pharmaceuticals,Pharmaceuticals
ATFL,Edible Oils,Edible Oils & Solvent Extraction
ATLANTA,Infrastructure,Infrastructure subtype General
ATUL,Dyes,Dyes & Pigments
ATULAUTO,Auto,Auto subtype 2 & 3 Wheelers
AURIONPRO,Computers,Software
AUROPHARMA,Pharmaceuticals,Pharmaceuticals
AUSOMENT,Trading,Trading
AUTOAXLES,Auto Ancl,Auto Ancl subtype Dr. Trans & Steer subtype Others
AUTOIND,Auto Ancl,Auto Ancl subtype Equipment Lamp
AUTOLITIND,Auto Ancl,Auto Ancl subtype Equipment Lamp
AVANTIFEED,Food Processing,Indian
AVTNPL,Edible Oils,Edible Oils & Solvent Extraction
AXISBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
AXISCADES,Computers, Medium  Small
AXISGOLD,ETF,Gold
AYMSYNTEX,Textiles,Textiles subtype Processing Texturising
BAFNAPHARM,Pharmaceuticals,Formulations
BAGFILMS,Entertainment,Entertainment Multi Media
BAJAJsubtypeAUTO,Auto,Auto subtype 2 & 3 Wheelers
BAJAJCORP,Diversified,Diversified
BAJAJELEC,Appliances,Domestic Appliances subtype Fans
BAJAJFINSV,Finance,Finance subtype General
BAJAJHIND,Sugar,Sugar subtype Integrated
BAJAJHLDNG,Finance,Finance subtype Investments
BAJFINANCE,Finance,Finance subtype Leasing & Hire Purchase
BALAJITELE,Entertainment,Entertainment Multi Media
BALAMINES,Chemicals,Chemicals subtype Organic subtype Others
BALKRISHNA,NA,NA
BALKRISIND,Auto Ancl,Tyres & Tubes
BALLARPUR,Paper,Paper & Paper Boards
BALMLAWRIE,Diversified,Diversified
BALPHARMA,Pharmaceuticals,Pharmaceuticals
BALRAMCHIN,Sugar,Sugar subtype Integrated
BANARISUG,Sugar,Sugar subtype Others
BANCOINDIA,Auto Ancl,Auto Ancl subtype Engine Parts
BANKBARODA,Banks subtype PSU,Finance subtype Banks subtype Public Sector
BANKBEES,ETF,Bank Nifty
BANKINDIA,Banks subtype PSU,Finance subtype Banks subtype Public Sector
BANKNIFTY,Index,Index
BANSWRAS,Textiles,Textiles subtype Spinning subtype Synthetic Blended
BARTRONICS,Computers,Computers subtype Hardware
BASF,Chemicals,Chemicals subtype Organic subtype Others
BASML,Textiles,Textiles subtype General
BATAINDIA,Leather,Leather Synthetic subtype Footwear
BAYERCROP,Agro,Pesticides Agro Chemicals
BBL,Electric,Electric Equipment subtype Transformers
BBTC,Tea subtype Coffee,Plantations subtype Tea & Coffee
BEDMUTHA,Electronics,Electronics subtype Others
BEL,Electronics,Electronics subtype Others
BEML,Engineering,Heavy
BEPL,Petrochem,Petrochem subtype Polymers
BERGEPAINT,Paints,Paints Varnishes
BFINVEST,Finance,Finance subtype Investments
BFUTILITIE,Power,Generation Distribution
BGRENERGY,Engineering,General
BHAGERIA,Dyes,Dyes & Pigments
BHANDARI,NA,NA
BHARATFIN,NA,NA
BHARATFORG,Auto Ancl,Forgings
BHARATGEAR,Auto Ancl,Auto Ancl subtype Gears & Drive
BHARATIDIL,NA,NA
BHARATRAS,Agro,Pesticides Agro Chemicals
BHARATWIRE,NA,NA
BHARTIARTL,Telecom,Telecommunications subtype Service
BHEL,Engineering,Heavy
BHUSANSTL,Steel,Steel subtype CR HR Strips
BIGBLOC,NA,NA
BIL,Leather,Leather subtype Garments
BINANIIND,Misc,Miscellaneous
BINDALAGRO,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
BIOCON,Pharmaceuticals,Pharmaceuticals
BIRLACABLE,NA,NA
BIRLACORPN,Cement,Major
BLISSGVS,Pharmaceuticals,Contraceptives
BLKASHYAP,Construction,Construction & Contracting subtype Civil
BLS,NA,NA
BLUEBLENDS,Textiles,Textiles subtype Processing Texturising
BLUECOAST,Pharmaceuticals,Pharmaceuticals
BLUEDART,Couriers,Couriers
BLUESTARCO,Air Conditioners,Air Conditioners
BODALCHEM,Dyes,Dyes & Pigments
BOMDYEING,Petrochem,Petrochem subtype Polymers
BOSCHLTD,Auto Ancl,Auto Ancl subtype Engine Parts
BPCL,Refineries,Refineries
BPL,Consumer Goods,Consumer Goods subtype Electronic
BRFL,Textiles,Textiles subtype General
BRIGADE,Construction,Construction and Contracting subtype Real Estate
BRITANNIA,Food Processing,Food Processing subtype Dairy
BROOKS,Pharmaceuticals,Bulk Drugs & Formln
BSE,NA,NA
BSL,Textiles,Textiles subtype Weaving
BSLIMITED,Transmisson Line Towers,Transmisson Line Towers  Equipment
BURNPUR,Cement,Cement subtype Products Building Materials
BUTTERFLY,Appliances,Domestic Appliances subtype Others
BYKE,Hotels,Hotels
CADILAHC,Pharmaceuticals,Pharmaceuticals
CAMLINFINE,Chemicals,Chemicals subtype Others
CANBK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
CANFINHOME,Finance,Finance subtype Housing
CANTABIL,Textiles,Textiles subtype Readymade Apparels
CAPF,Finance,Finance subtype Investments
CAPLIPOINT,Pharmaceuticals,Formulations
CAPTRUST,NA,NA
CARBORUNIV,Grinding Wheels,Abrasives Grinding Wheels
CAREERP,Misc,Miscellaneous
CARERATING,Misc,Miscellaneous
CASTEXTECH,Auto Ancl,Auto Ancl subtype Others
CASTROLIND,Chemicals,Chemicals subtype Others
CCHHL,Hotels,Hotels
CCL,Tea subtype Coffee,Plantations subtype Tea & Coffee
CEATLTD,Auto Ancl,Tyres & Tubes
CEBBCO,Engineering,General
CELEBRITY,Textiles,Textiles subtype Readymade Apparels
CELESTIAL,Pharmaceuticals,Pharmaceuticals
CENTENKA,Textiles,Textiles subtype Manmade Fibre subtype PFY PSF
CENTRALBK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
CENTUM,Electronics,Electronics subtype Others
CENTURYPLY,Consumer Goods,Decoratives subtype Wood Based
CENTURYTEX,Diversified,Diversified
CERA,Ceramics,Ceramics Tiles Sanitaryware
CEREBRAINT,Computers,Computers subtype Hardware
CESC,Power,Generation Distribution
CGCL,Finance,Finance subtype Investments
CGPOWER,NA,NA
CHAMBLFERT,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
CHEMFALKAL,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
CHENNPETRO,Refineries,Refineries
CHOLAFIN,Finance,Finance subtype Leasing & Hire Purchase
CHROMATIC,Dyes,Dyes & Pigments
CIGNITITEC,Computers, Medium  Small
CINELINE,Entertainment,Entertainment Multi Media
CIPLA,Pharmaceuticals,Pharmaceuticals
CLEDUCATE,NA,NA
CLNINDIA,Dyes,Dyes & Pigments
CMICABLES,NA,NA
CNOVAPETRO,Textiles,Manmade
COALINDIA,Mining,Mining Minerals
COFFEEDAY,Hotels,Hotels
COLPAL,FMCG,Personal Care
COMPINFO,NA,NA
COMPUSOFT,Computers,Education
CONCOR,Transport,Transport subtype Road
CONSOFINVT,Finance,Finance subtype General
CONTROLPR,NA,NA
CORDSCABLE,Cables,Cables subtype Power Others
COROMANDEL,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
CORPBANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
COSMOFILMS,Plastics,Plastics subtype BOPP subtype Sheets Films
COUNCODOS,Construction,Construction and Contracting subtype Real Estate
COX&KINGS,Travel,Travel Agen.   Tourism Deve.   Amusement Park
CRISIL,Misc,Services subtype Others
CROMPTON,NA,NA
CTE,Computers, Medium  Small
CUB,Banks subtype Private,Finance subtype Banks subtype Private Sector
CUMMINSIND,Engines,Engines
CUPID,NA,NA
CYBERTECH,Computers,Software
CYIENT,Computers, Medium  Small
DAAWAT,Misc,Food Wholesale
DABUR,FMCG,Personal Care
DALMIABHA,Refractories / Intermediates,Refractories   Intermediates
DALMIASUG,Sugar,Sugar subtype Integrated
DAMODARIND,NA,NA
DATAMATICS,Computers,Software
DBCORP,Printing,Printing Publishing Stationery
DBL,NA,NA
DBREALTY,Construction,Construction and Contracting subtype Real Estate
DBSTOCKBRO,Finance,Finance subtype Investments
DCBBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
DCM,Textiles,Textiles subtype Spinning subtype Cotton Blended
DCMSHRIRAM,Diversified,Mega
DCW,Petrochem,Petrochem subtype Others
DECCANCE,Cement,Cement subtype Mini
DEEPAKFERT,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
DEEPAKNTR,Chemicals,Chemicals subtype Inorganic subtype Others
DEEPIND,Misc,Services subtype Others
DELTACORP,Diversified,Diversified
DELTAMAGNT,Electronics,Electronics subtype Others
DEN,Entertainment,Entertainment Multi Media
DENABANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
DENORA,Misc,Welding Equipment subtype Electrodes,INDUSTRIAL EQUIPMENT,DENORA,ELECTRIC EQUIPMENT
DFMFOODS,NA,NA
DHAMPURSUG,Sugar,Sugar subtype Integrated
DHANBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
DHANUKA,Agro,Pesticides Agro Chemicals
DHARSUGAR,Sugar,Sugar subtype Integrated
DHFL,Finance,Finance subtype Housing
DHUNINV,Finance,Finance subtype General
DIAPOWER,Cables,Cables subtype Power Others
DICIND,Printing,Printing Publishing Stationery
DIGJAMLTD,NA,NA
DISHMAN,Pharmaceuticals,Pharmaceuticals
DISHTV,Entertainment,Entertainment Multi Media
DIVISLAB,Pharmaceuticals,Pharmaceuticals
DLF,Construction,Construction and Contracting subtype Real Estate
DLINKINDIA,Misc,Miscellaneous
DMART,NA,NA
DOLPHINOFF,Oil Drilling,Drilling Exploration
DONEAR,Textiles,Textiles subtype Weaving
DPL,Petrochem,Petrochem subtype Others
DPSCLTD,Power,Generation Distribution
DREDGECORP,Misc,Miscellaneous
DRREDDY,Pharmaceuticals,Pharmaceuticals
DTIL,Tea subtype Coffee,Plantations subtype Tea & Coffee
DUCON,NA,NA
DWARKESH,Sugar,Sugar subtype Others
DYNAMATECH,Misc,Hydraulics
EASTSILK,Textiles,Textiles subtype Synthetic Silk
ECEIND,Misc,Lighting Systems
ECLERX,Services,Business Services
EDELWEISS,Finance,Finance subtype General
